,subject,predicate,object
1375,Scorpion,abstract,"Scorpions are predatory arachnids of the order Scorpiones. They have eight legs and are easily recognized by the pair of grasping pedipalps and the narrow, segmented tail, often carried in a characteristic forward curve over the back, ending with a venomous stinger. Scorpions range in size from 9 mm / 0.3 in. (Typhlochactas mitchelli) to 23 cm / 9 in. (Heterometrus swammerdami). The evolutionary history of scorpions goes back to the Silurian period 435 million years ago. They have adapted to a wide range of environmental conditions, and they can now be found on all continents except Antarctica. There are about 1,750 described species, with 13 extant (living) families recognised to date. Their taxonomy is being revised in the light of genomic studies. All scorpions have a venomous sting, but the vast majority of the species do not represent a serious threat to humans, and in most cases, healthy adults do not need any medical treatment after being stung. Only about 25 species are known to have venom capable of killing a human. In some parts of the world with highly venomous species, human fatalities regularly occur, primarily in areas with limited access to medical treatment."
1388,Sea_lion,abstract,"Sea lions are pinnipeds characterized by external ear flaps, long foreflippers, the ability to walk on all fours, short, thick hair, and a big chest and belly. Together with the fur seals, they comprise the family Otariidae, eared seals, which contains six extant and one extinct species (the Japanese sea lion) in five genera. Their range extends from the subarctic to tropical waters of the global ocean in both the Northern and Southern Hemispheres, with the notable exception of the northern Atlantic Ocean. They have an average lifespan of 20â€“30 years. A male California sea lion weighs on average about 300 kg (660 lb) and is about 2.4 m (8 ft) long, while the female sea lion weighs 100 kg (220 lb) and is 1.8 m (6 ft) long. The largest sea lion is Steller's sea lion, which can weigh 1,000 kg (2,200 lb) and grow to a length of 3.0 m (10 ft). Sea lions consume large quantities of food at a time and are known to eat about 5â€“8% of their body weight (about 6.8â€“15.9 kg (15â€“35 lb)) at a single feeding. Sea lions can move around 16 knots (30 km/h; 18 mph) in water and at their fastest they can reach a speed of about 30 knots (56 km/h; 35 mph). Three species, the Australian sea lion, the GalÃ¡pagos sea lion and the New Zealand sea lion, are listed as Endangered."
1390,Seahorse,abstract,"Seahorse (also written sea-horse and sea horse) is the name given to 46 species of small marine fish in the genus Hippocampus. ""Hippocampus"" comes from the Ancient Greek hippokampos (á¼±Ï€Ï€ÏŒÎºÎ±Î¼Ï€Î¿Ï‚ hippÃ³kampos), itself from hippos (á¼µÏ€Ï€Î¿Ï‚ hÃ­ppos) meaning ""horse"" and kampos (ÎºÎ¬Î¼Ï€Î¿Ï‚ kÃ¡mpos) meaning ""sea monster"". Having a head and neck suggestive of a horse, seahorses also feature segmented bony armour, an upright posture and a curled prehensile tail."
1391,Seahorse,type,Insect
1393,Shark,abstract,"Sharks are a group of elasmobranch fish characterized by a cartilaginous skeleton, five to seven gill slits on the sides of the head, and pectoral fins that are not fused to the head. Modern sharks are classified within the clade Selachimorpha (or Selachii) and are the sister group to the rays. However, the term ""shark"" has also been used for extinct members of the subclass Elasmobranchii outside the Selachimorpha, such as Cladoselache and Xenacanthus, as well as other Chondrichthyes such as the holocephalid eugenedontidans. Under this broader definition, the earliest known sharks date back to more than 420 million years ago. Acanthodians are often referred to as ""spiny sharks""; though they are not part of Chondrichthyes proper, they are a paraphyletic assemblage leading to cartilaginous fish as a whole. Since then, sharks have diversified into over 500 species. They range in size from the small dwarf lanternshark (Etmopterus perryi), a deep sea species of only 17 centimetres (6.7 in) in length, to the whale shark (Rhincodon typus), the largest fish in the world, which reaches approximately 12 metres (40 ft) in length. Sharks are found in all seas and are common to depths of 2,000 metres (6,600 ft). They generally do not live in freshwater although there are a few known exceptions, such as the bull shark and the river shark, which can be found in both seawater and freshwater. Sharks have a covering of dermal denticles that protects their skin from damage and parasites in addition to improving their fluid dynamics. They have numerous sets of replaceable teeth. Well-known species such as the tiger shark, blue shark, great white shark, mako shark, thresher shark, and hammerhead shark are apex predatorsâ€”organisms at the top of their underwater food chain. Many shark populations are threatened by human activities."
1395,Shark,type,Insect
1396,Shrew,abstract,"Shrews (family Soricidae) are small mole-like mammals classified in the order Eulipotyphla. True shrews are not to be confused with treeshrews, otter shrews, elephant shrews, or the West Indies shrews, which belong to different families or orders. Although its external appearance is generally that of a long-nosed mouse, a shrew is not a rodent, as mice are. It is, in fact, a much closer relative of hedgehogs and moles, and shrews are related to rodents only to the extent that both belong to the Boreoeutheria magnorder â€“ together with humans, monkeys, cats, dogs, horses, rhinos, cattle, pigs, whales, bats, and others. Shrews have sharp, spike-like teeth, not the familiar gnawing front incisor teeth of rodents. Shrews are distributed almost worldwide; of the major tropical and temperate land masses, only New Guinea, Australia, and New Zealand have no native shrews; in South America shrews appeared only relatively recently, as a result of the Great American Interchange, and are present only in the northern Andes. In terms of species diversity, the shrew family is the fourth-most successful mammal family, being exceeded only by the muroid rodent families Muridae and Cricetidae and the bat family Vespertilionidae."
1399,Shrew,type,Insect
1405,Shrimp,abstract,"Shrimp are decapod crustaceans with elongated bodies and a primarily swimming mode of locomotion â€“ most commonly Caridea and Dendrobranchiata. More narrow definitions may be restricted to Caridea, to smaller species of either group or to only the marine species. Under a broader definition, shrimp may be synonymous with prawn, covering stalk-eyed swimming crustaceans with long narrow muscular tails (abdomens), long whiskers (antennae), and slender legs. Any small crustacean which resembles a shrimp tends to be called one. They swim forward by paddling with swimmerets on the underside of their abdomens, although their escape response is typically repeated flicks with the tail driving them backwards very quickly. Crabs and lobsters have strong walking legs, whereas shrimp have thin, fragile legs which they use primarily for perching. Shrimp are widespread and abundant. There are thousands of species adapted to a wide range of habitats. They can be found feeding near the seafloor on most coasts and estuaries, as well as in rivers and lakes. To escape predators, some species flip off the seafloor and dive into the sediment. They usually live from one to seven years. Shrimp are often solitary, though they can form large schools during the spawning season. They play important roles in the food chain and are an important food source for larger animals ranging from fish to whales. The muscular tails of many shrimp are edible to humans, and they are widely caught and farmed for human consumption. Commercial shrimp species support an industry worth 50 billion dollars a year, and in 2010 the total commercial production of shrimp was nearly 7 million tonnes. Shrimp farming became more prevalent during the 1980s, particularly in China, and by 2007 the harvest from shrimp farms exceeded the capture of wild shrimp. There are significant issues with excessive bycatch when shrimp are captured in the wild, and with pollution damage done to estuaries when they are used to support shrimp farming. Many shrimp species are small as the term shrimp suggests, about 2 cm (0.79 in) long, but some shrimp exceed 25 cm (9.8 in). Larger shrimp are more likely to be targeted commercially and are often referred to as prawns, particularly in Britain."
1408,Skunk,abstract,"Skunks are North and South American mammals in the family Mephitidae. While related to polecats and other members of the weasel family, skunks have as their closest Old World relatives the stink badgers. The animals are known for their ability to spray a liquid with a strong, unpleasant smell. Different species of skunk vary in appearance from black-and-white to brown, cream or ginger colored, but all have warning coloration."
1412,Skunk,type,Insect
1418,Snail,abstract,"A snail is, in loose terms, a shelled gastropod. The name is most often applied to land snails, terrestrial pulmonate gastropod molluscs. However, the common name snail is also used for most of the members of the molluscan class Gastropoda that have a coiled shell that is large enough for the animal to retract completely into. When the word ""snail"" is used in this most general sense, it includes not just land snails but also numerous species of sea snails and freshwater snails. Gastropods that naturally lack a shell, or have only an internal shell, are mostly called slugs, and land snails that have only a very small shell (that they cannot retract into) are often called semi-slugs. Snails have considerable human relevance, including as food items, as pests, and as vectors of disease, and their shells are used as decorative objects and are incorporated into jewelry. The snail has also had some cultural significance, tending to be associated with patience. The snail has also been used as a metaphor: someone who is not moving fast enough is ""slow as a snail."" The snail is the same or similar shape as the Cochlea."
1420,Snake,abstract,"Snakes are elongated, legless, carnivorous reptiles of the suborder Serpentes. Like all other squamates, snakes are ectothermic, amniote vertebrates covered in overlapping scales. Many species of snakes have skulls with several more joints than their lizard ancestors, enabling them to swallow prey much larger than their heads with their highly mobile jaws. To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung. Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca. Lizards have evolved elongate bodies without limbs or with greatly reduced limbs about twenty-five times independently via convergent evolution, leading to many lineages of legless lizards. Legless lizards resemble snakes, but several common groups of legless lizards have eyelids and external ears, which snakes lack, although this rule is not universal (see Amphisbaenia, Dibamidae, and Pygopodidae). Living snakes are found on every continent except Antarctica, and on most smaller land masses; exceptions include some large islands, such as Ireland, Iceland, Greenland, the Hawaiian archipelago, and the islands of New Zealand, and many small islands of the Atlantic and central Pacific oceans. Additionally, sea snakes are widespread throughout the Indian and Pacific Oceans. More than 20 families are currently recognized, comprising about 520 genera and about 3,600 species. They range in size from the tiny, 10.4 cm (4.1 in)-long Barbados thread snake to the reticulated python of 6.95 meters (22.8 ft) in length. The fossil species Titanoboa cerrejonensis was 12.8 meters (42 ft) long. Snakes are thought to have evolved from either burrowing or aquatic lizards, perhaps during the Jurassic period, with the earliest known fossils dating to between 143 and 167 Ma ago. The diversity of modern snakes appeared during the Paleocene epoch (c 66 to 56 Ma ago, after the Cretaceousâ€“Paleogene extinction event). The oldest preserved descriptions of snakes can be found in the Brooklyn Papyrus. Most species are nonvenomous and those that have venom use it primarily to kill and subdue prey rather than for self-defense. Some possess venom potent enough to cause painful injury or death to humans. Nonvenomous snakes either swallow prey alive or kill by constriction."
1422,Spider,abstract,"Spiders (order Araneae) are air-breathing arthropods that have eight legs, chelicerae with fangs generally able to inject venom, and spinnerets that extrude silk. They are the largest order of arachnids and rank seventh in total species diversity among all orders of organisms. Spiders are found worldwide on every continent except for Antarctica, and have become established in nearly every habitat with the exceptions of air and sea colonization. As of July 2019, at least 48,200 spider species, and 120 families have been recorded by taxonomists. However, there has been dissension within the scientific community as to how all these families should be classified, as evidenced by the over 20 different classifications that have been proposed since 1900. Anatomically, spiders (as with all arachnids) differ from other arthropods in that the usual body segments are fused into two tagmata, the prosoma, or cephalothorax, and opisthosoma, or abdomen, and joined by a small, cylindrical pedicel (however, as there is currently neither paleontological nor embryological evidence that spiders ever had a separate thorax-like division, there exists an argument against the validity of the term cephalothorax, which means fused cephalon (head) and the thorax. Similarly, arguments can be formed against use of the term abdomen, as the opisthosoma of all spiders contains a heart and respiratory organs, organs atypical of an abdomen). Unlike insects, spiders do not have antennae. In all except the most primitive group, the Mesothelae, spiders have the most centralized nervous systems of all arthropods, as all their ganglia are fused into one mass in the cephalothorax. Unlike most arthropods, spiders have no extensor muscles in their limbs and instead extend them by hydraulic pressure. Their abdomens bear appendages that have been modified into spinnerets that extrude silk from up to six types of glands. Spider webs vary widely in size, shape and the amount of sticky thread used. It now appears that the spiral orb web may be one of the earliest forms, and spiders that produce tangled cobwebs are more abundant and diverse than orb-web spiders. Spider-like arachnids with silk-producing spigots appeared in the Devonian period about 386 million years ago, but these animals apparently lacked spinnerets. True spiders have been found in Carboniferous rocks from 318 to 299 million years ago, and are very similar to the most primitive surviving suborder, the Mesothelae. The main groups of modern spiders, Mygalomorphae and Araneomorphae, first appeared in the Triassic period, before 200 million years ago. The species Bagheera kiplingi was described as herbivorous in 2008, but all other known species are predators, mostly preying on insects and on other spiders, although a few large species also take birds and lizards. It is estimated that the world's 25 million tons of spiders kill 400â€“800 million tons of prey per year. Spiders use a wide range of strategies to capture prey: trapping it in sticky webs, lassoing it with sticky bolas, mimicking the prey to avoid detection, or running it down. Most detect prey mainly by sensing vibrations, but the active hunters have acute vision, and hunters of the genus Portia show signs of intelligence in their choice of tactics and ability to develop new ones. Spiders' guts are too narrow to take solids, so they liquefy their food by flooding it with digestive enzymes. They also grind food with the bases of their pedipalps, as arachnids do not have the mandibles that crustaceans and insects have. To avoid being eaten by the females, which are typically much larger, male spiders identify themselves to potential mates by a variety of complex courtship rituals. Males of most species survive a few matings, limited mainly by their short life spans. Females weave silk egg-cases, each of which may contain hundreds of eggs. Females of many species care for their young, for example by carrying them around or by sharing food with them. A minority of species are social, building communal webs that may house anywhere from a few to 50,000 individuals. Social behavior ranges from precarious toleration, as in the widow spiders, to co-operative hunting and food-sharing. Although most spiders live for at most two years, tarantulas and other mygalomorph spiders can live up to 25 years in captivity. While the venom of a few species is dangerous to humans, scientists are now researching the use of spider venom in medicine and as non-polluting pesticides. Spider silk provides a combination of lightness, strength and elasticity that is superior to that of synthetic materials, and spider silk genes have been inserted into mammals and plants to see if these can be used as silk factories. As a result of their wide range of behaviors, spiders have become common symbols in art and mythology symbolizing various combinations of patience, cruelty and creative powers. An abnormal fear of spiders is called arachnophobia."
1424,Squid,abstract,"Squid are cephalopods in the superorder Decapodiformes with elongated bodies, large eyes, eight arms and two tentacles. Like all other cephalopods, squid have a distinct head, bilateral symmetry, and a mantle. They are mainly soft-bodied, like octopuses, but have a small internal skeleton in the form of a rod-like gladius or pen, made of chitin. Squid diverged from other cephalopods during the Jurassic and occupy a similar role to teleost fish as open water predators of similar size and behaviour. They play an important role in the open water food web. The two long tentacles are used to grab prey and the eight arms to hold and control it. The beak then cuts the food into suitable size chunks for swallowing. Squid are rapid swimmers, moving by jet propulsion, and largely locate their prey by sight. They are among the most intelligent of invertebrates, with groups of Humboldt squid having been observed hunting cooperatively. They are preyed on by sharks, other fish, sea birds, seals and cetaceans, particularly sperm whales. Squid can change colour for camouflage and signalling. Some species are bioluminescent, using their light for counter-illumination camouflage, while many species can eject a cloud of ink to distract predators. Squid are used for human consumption with commercial fisheries in Japan, the Mediterranean, the southwestern Atlantic, the eastern Pacific and elsewhere. They are used in cuisines around the world, often known as ""calamari"". Squid have featured in literature since classical times, especially in tales of giant squid and sea monsters."
1426,Squirrel,abstract,"Squirrels are members of the family Sciuridae, a family that includes small or medium-size rodents. The squirrel family includes tree squirrels, ground squirrels, chipmunks, marmots (including groundhogs), flying squirrels, and prairie dogs amongst other rodents. Squirrels are indigenous to the Americas, Eurasia, and Africa, and were introduced by humans to Australia. The earliest known fossilized squirrels date from the Eocene epoch, and among other living rodent families, the squirrels are most closely related to the mountain beaver and to the dormice."
1435,Starling,abstract,"Starlings are a small to medium-sized passerine (perching) birds from the family Sturnidae. The name ""Sturnidae"" derives from the Latin term for starling, sturnus. Many Asian species, particularly the larger ones, are dubbed mynas, and many African species are known as glossy starlings because of their iridescent plumage. Starlings are native to Europe, Asia and Africa, as well as northern Australia and the islands of the tropical Pacific. Several European and Asian species have been introduced to these areas as well as North America, Hawaii and New Zealand, where they generally compete for habitats with native birds and are considered to be invasive species. The starling species familiar to most people in Europe and North America is the common starling, and throughout much of Asia and the Pacific, the common myna is indeed common. Starlings have strong feet, their flight is strong and direct, and they are very gregarious. Their preferred habitat is fairly open country, and they eat insects and fruit. Several species live around human habitation and are effectively omnivores. Many species search for prey such as grubs by ""open-bill probing"", that is, forcefully opening the bill after inserting it into a crevice, thus expanding the hole and exposing the prey; this behaviour is referred to by the German verb zirkeln (pronounced [ËˆtsÉªÊklÌ©n]). Plumage of many species is typically dark with a metallic sheen. Most species nest in holes and lay blue or white eggs. Starlings have diverse and complex vocalizations and have been known to embed sounds from their surroundings into their own calls, including car alarms and human speech patterns. The birds can recognize particular individuals by their calls and are the subject of research into the evolution of human language."
1439,Starling,type,Insect
1444,Stingray,abstract,"Stingrays are a group of sea rays, which are cartilaginous fish related to sharks. They are classified in the suborder Myliobatoidei of the order Myliobatiformes and consist of eight families: Hexatrygonidae (sixgill stingray), Plesiobatidae (deepwater stingray), Urolophidae (stingarees), Urotrygonidae (round rays), Dasyatidae (whiptail stingrays), Potamotrygonidae (river stingrays), Gymnuridae (butterfly rays), and Myliobatidae (eagle rays). Stingrays are common in coastal tropical and subtropical marine waters throughout the world. Some species, such as Dasyatis thetidis, are found in warmer temperate oceans, and others, such as Plesiobatis daviesi, are found in the deep ocean. The river stingrays, and a number of whiptail stingrays (such as the Niger stingray), are restricted to fresh water. Most myliobatoids are demersal (inhabiting the next-to-lowest zone in the water column), but some, such as the pelagic stingray and the eagle rays, are pelagic. There are about 220 known stingray species organized into ten families and 29 genera. Stingray species are progressively becoming threatened or vulnerable to extinction, particularly as the consequence of unregulated fishing. As of 2013, 45 species have been listed as vulnerable or endangered by the IUCN. The status of some other species is poorly known, leading to their being listed as data deficient."
1445,Stork,abstract,"Storks are large, long-legged, long-necked wading birds with long, stout bills. They belong to the family called Ciconiidae, and make up the order Ciconiiformes. Ciconiiformes previously included a number of other families, such as herons and ibises, but those families have been moved to other orders. Storks dwell in many regions and tend to live in drier habitats than the closely related herons, spoonbills and ibises; they also lack the powder down that those groups use to clean off fish slime. Bill-clattering is an important mode of communication at the nest. Many species are migratory. Most storks eat frogs, fish, insects, earthworms, small birds and small mammals. There are nineteen living species of storks in six genera. Various terms are used to refer to groups of storks, two frequently used ones being a muster of storks and a phalanx of storks. Storks tend to use soaring, gliding flight, which conserves energy. Soaring requires thermal air currents. Ottomar AnschÃ¼tzâ€™s famous 1884 album of photographs of storks inspired the design of Otto Lilienthal's experimental gliders of the late nineteenth century. Storks are heavy, with wide wingspans: the marabou stork, with a wingspan of 3.2 m (10 ft) and weight up to 8 kg (18 lb), joins the Andean condor in having the widest wingspan of all living land birds. Their nests are often very large and may be used for many years. Some nests have been known to grow to over two metres (six feet) in diameter and about three metres (ten feet) in depth. Storks were once thought to be monogamous, but this is only partially true. They may change mates after migrations, and may migrate without a mate. Storksâ€™ size, serial monogamy, and faithfulness to an established nesting site contribute to their prominence in mythology and culture."
1454,Swallow,abstract,"The swallows, martins, and saw-wings, or Hirundinidae, are a family of passerine birds found around the world on all continents, including occasionally in Antarctica. Highly adapted to aerial feeding, they have a distinctive appearance. The term ""swallow"" is used colloquially in Europe as a synonym for the barn swallow. Around 90 species of Hirundinidae are known, divided into 19 genera, with the greatest diversity found in Africa, which is also thought to be where they evolved as hole-nesters. They also occur on a number of oceanic islands. A number of European and North American species are long-distance migrants; by contrast, the West and South African swallows are nonmigratory. This family comprises two subfamilies: Pseudochelidoninae (the river martins of the genus Pseudochelidon) and Hirundininae (all other swallows, martins, and saw-wings). In the Old World, the name ""martin""' tends to be used for the squarer-tailed species, and the name ""swallow"" for the more fork-tailed species; however, no scientific distinction between these two groups is made. In the New World, ""martin"" is reserved for members of the genus Progne. (These two systems are responsible for the sand martin being called ""bank swallow"" in the New World.)"
1456,Swan,abstract,"Swans are birds of the family Anatidae within the genus Cygnus. The swans' closest relatives include the geese and ducks. Swans are grouped with the closely related geese in the subfamily Anserinae where they form the tribe Cygnini. Sometimes, they are considered a distinct subfamily, Cygninae. There are six living (and many extinct) species of swan; in addition, there is a species known as the coscoroba swan which is no longer considered one of the true swans. Swans usually mate for life, although â€œdivorceâ€ sometimes occurs, particularly following nesting failure, and if a mate dies, the remaining swan will take up with another. The number of eggs in each clutch ranges from three to eight."
1462,Swan,type,Insect
1466,Tapir,abstract,"A tapir ( TAY-pÉ™r,  TAY-peer or  tÉ™-PEER,  TAY-pee-É™r) is a large, herbivorous mammal, similar in shape to a pig, with a short, prehensile nose trunk. Tapirs inhabit jungle and forest regions of South America, Central America, and Southeast Asia. There are four widely recognized extant species of tapir, all of the family Tapiridae and the genus Tapirus. They are the Brazilian tapir, the Malayan tapir, the Baird's tapir, and the mountain tapir. In 2013, a group of researchers said they had identified a fifth species of tapir, the kabomani tapir. However, the existence of the kabomani tapir as a distinct species has been widely disputed, and recent genetic evidence further suggests it is actually nested within T. terrestris. The four species that have been evaluated (all except the kabomani) are all classified on the IUCN Red List as Endangered or Vulnerable. The tapirs have a number of extinct relatives in the superfamily Tapiroidea. The closest extant relatives of the tapirs are the other odd-toed ungulates, which include horses, donkeys, zebras and rhinoceroses."
1469,Tapir,type,Insect
1478,Tarsier,abstract,"Tarsiers are any haplorrhine primates of the family Tarsiidae, which is itself the lone extant family within the infraorder Tarsiiformes. Although the group was once more widespread, all of its species living today are found in the islands of Southeast Asia, specifically the Philippines, Malaysia, Indonesia, and Brunei. They are found primarily in forested habitats, especially forests that have liana, since they give them vertical support when climbing trees."
1489,Termite,abstract,"Termites are eusocial insects that are classified at the taxonomic rank of infraorder Isoptera, or as epifamily Termitoidae within the order Blattodea (along with cockroaches). Termites were once classified in a separate order from cockroaches, but recent phylogenetic studies indicate that they evolved from cockroaches, as sister to Cryptocercus. Previous estimates suggested the divergence took place during the Jurassic or Triassic, however more recent estimates suggest they have an origin during the early Cretaceous with the first fossil records in the mid Cretaceous. About 3,106 species are currently described, with a few hundred more left to be described. Although these insects are often called ""white ants"", they are not ants, and are not closely related to ants. Like ants and some bees and wasps from the separate order Hymenoptera, termites divide as ""workers"" and ""soldiers"" that are usually sterile. All colonies have fertile males called ""kings"" and one or more fertile females called ""queens"". Termites mostly feed on dead plant material and cellulose, generally in the form of wood, leaf litter, soil, or animal dung. Termites are major detritivores, particularly in the subtropical and tropical regions, and their recycling of wood and plant matter is of considerable ecological importance. Termites are among the most successful groups of insects on Earth, colonising most landmasses except Antarctica. Their colonies range in size from a few hundred individuals to enormous societies with several million individuals. Termite queens have the longest known lifespan of any insect, with some queens reportedly living up to 30 to 50 years. Unlike ants, which undergo a complete metamorphosis, each individual termite goes through an incomplete metamorphosis that proceeds through egg, nymph, and adult stages. Colonies are described as superorganisms because the termites form part of a self-regulating entity: the colony itself. Termites are a delicacy in the diet of some human cultures and are used in many traditional medicines. Several hundred species are economically significant as pests that can cause serious damage to buildings, crops, or plantation forests. Some species, such as the West Indian drywood termite (Cryptotermes brevis), are regarded as invasive species."
1491,Termite,type,Insect
1492,Tiger,abstract,"The tiger (Panthera tigris) is the largest extant cat species and a member of the genus Panthera. It is most recognisable for its dark vertical stripes on orange-brown fur with a lighter underside. It is an apex predator, primarily preying on ungulates such as deer and wild boar. It is territorial and generally a solitary but social predator, requiring large contiguous areas of habitat, which support its requirements for prey and rearing of its offspring. Tiger cubs stay with their mother for about two years, before they become independent and leave their mother's home range to establish their own. The tiger once ranged widely from the Eastern Anatolia Region in the west to the Amur River basin, and in the south from the foothills of the Himalayas to Bali in the Sunda islands. Since the early 20th century, tiger populations have lost at least 93% of their historic range and have been extirpated in Western and Central Asia, from the islands of Java and Bali, and in large areas of Southeast and South Asia and China. Today's tiger range is fragmented, stretching from Siberian temperate forests to subtropical and tropical forests on the Indian subcontinent and Sumatra. The tiger is listed as endangered on the IUCN Red List. As of 2015, the global wild tiger population was estimated to number between 3,062 and 3,948 mature individuals, with most remaining populations occurring in small pockets isolated from each other. Major reasons for population decline include habitat destruction, habitat fragmentation and poaching. This, coupled with the fact that it lives in some of the more densely populated places on Earth, has caused significant conflicts with humans. The tiger is among the most recognisable and popular of the world's charismatic megafauna. It featured prominently in ancient mythology and folklore and continues to be depicted in modern films and literature, appearing on many flags, coats of arms and as mascots for sporting teams. The tiger is the national animal of India, Bangladesh, Malaysia and South Korea."
1494,Tiger,type,Mammal
1495,Toad,abstract,"Toad is a common name for certain frogs, especially of the family Bufonidae, that are characterized by dry, leathery skin, short legs, and large bumps covering the parotoid glands. A distinction between frogs and toads is not made in scientific taxonomy, but is common in popular culture (folk taxonomy), in which toads are associated with drier, rougher skin and more terrestrial habitats."
1496,Toad,type,Insect
1497,Trout,abstract,"Trout is the common name for a number of species of freshwater fish belonging to the genera Oncorhynchus, Salmo and Salvelinus, all of the subfamily Salmoninae of the family Salmonidae. The word trout is also used as part of the name of some non-salmonid fish such as Cynoscion nebulosus, the spotted seatrout or speckled trout. Trout are closely related to salmon and char (or charr): species termed salmon and char occur in the same genera as do fish called trout (Oncorhynchus â€“ Pacific salmon and trout, Salmo â€“ Atlantic salmon and various trout, Salvelinus â€“ char and trout). Lake trout and most other trout live in freshwater lakes and rivers exclusively, while there are others, such as the steelhead, a form of the coastal rainbow trout, that can spend two or three years at sea before returning to fresh water to spawn (a habit more typical of salmon). Arctic char and brook trout are part of the char family. Trout are an important food source for humans and wildlife, including brown bears, birds of prey such as eagles, and other animals. They are classified as oily fish."
1498,Turkey,abstract,"Turkey (Turkish: TÃ¼rkiye [ËˆtyÉ¾cije]), officially the Republic of Turkey (Turkish: TÃ¼rkiye Cumhuriyeti [ËˆtyÉ¾cije dÊ’umËˆhuËÉ¾ijeti] ()), is a transcontinental Eurasian country located mainly on the Anatolian peninsula in Western Asia, with a smaller portion on the Balkan peninsula in Southeastern Europe. East Thrace, the part of Turkey in Europe, is separated from Anatolia by the Sea of Marmara, the Bosporus and the Dardanelles (collectively called the Turkish Straits). Istanbul, which straddles Europe and Asia, is the largest city in the country, while Ankara is the capital. Turkey is bordered on its northwest by Greece and Bulgaria; north by the Black Sea; northeast by Georgia; east by Armenia, the Azerbaijani exclave of Nakhchivan and Iran; southeast by Iraq; south by Syria and the Mediterranean Sea; and west by the Aegean Sea. Approximately 70 to 80 percent of the country's citizens identify as Turkish, while Kurds are the largest minority, at between 15 to 20 percent of the population. At various points in its history, the region has been inhabited by diverse civilisations including the Anatolian peoples, Assyrians, Greeks, Thracians, Phrygians, Urartians, and Armenians. Hellenization started during the era of Alexander the Great and continued into the Byzantine era. The Seljuk Turks began migrating into the area in the 11th century, and their victory over the Byzantines at the Battle of Manzikert in 1071 symbolises the foundation of Turkey for many Turkish nationalists. The Seljuk Sultanate of RÃ»m ruled Anatolia until the Mongol invasion in 1243, when it disintegrated into small Turkish principalities called beyliks. Beginning in the late 13th century, the Ottomans started uniting the beyliks and conquering the Balkans. The Turkification of Anatolia increased during the Ottoman period. After Mehmed II conquered Constantinople in 1453, Ottoman expansion continued under Selim I. During the reign of Suleiman the Magnificent, the Ottoman Empire encompassed much of Southeast Europe, West Asia and North Africa and became a world power. From the late 18th century onwards, the empire's power declined with a gradual loss of territories and wars. In an effort to consolidate the weakening social and political foundations of the empire, Mahmud II started a period of modernisation in the early 19th century, bringing reforms in all areas of the state including the military and bureaucracy, along with the emancipation of all citizens. The 1913 coup d'Ã©tat effectively put the country under the control of the Three Pashas, who were largely responsible for the Empire's entry into World War I in 1914. During World War I, the Ottoman government committed genocides against its Armenian, Assyrian and Pontic Greek subjects. After the Ottomans and the other Central Powers lost the war, the conglomeration of territories and peoples that had composed the Ottoman Empire was partitioned into several new states. The Turkish War of Independence, initiated by Mustafa Kemal AtatÃ¼rk and his comrades against the occupying Allied Powers, resulted in the abolition of the sultanate on 1 November 1922, the replacement of the Treaty of SÃ¨vres (1920) with the Treaty of Lausanne (1923), and the establishment of the Republic of Turkey on 29 October 1923, with AtatÃ¼rk as its first president. AtatÃ¼rk enacted numerous reforms, many of which incorporated various aspects of Western thought, philosophy and customs into the new form of Turkish government. Turkey is a charter member of the UN, an early member of NATO, the IMF, and the World Bank, and a founding member of the OECD, OSCE, BSEC, OIC, and G20. After becoming one of the early members of the Council of Europe in 1950, Turkey became an associate member of the EEC in 1963, joined the EU Customs Union in 1995, and started accession negotiations with the European Union in 2005. In a non-binding vote on 13 March 2019, the European Parliament called on the EU governments to suspend Turkey's accession talks; which, despite being stalled since 2018, remain active as of 2020. Turkey's economy and diplomatic initiatives have led to its recognition as a regional power and a newly industrialized state by several analysts, while its location has given it geopolitical and strategic importance throughout history. Turkey is a secular, unitary, formerly parliamentary republic that adopted a presidential system with a referendum in 2017; the new system came into effect with the presidential election in 2018. Turkey's current administration, headed by President Recep Tayyip ErdoÄŸan of the AKP, has enacted measures to increase the influence of Islam and undermine Kemalist policies and freedom of the press."
1532,Turtle,abstract,"Turtles are reptiles of the order Testudines characterized by a special bony or cartilaginous shell developed from their ribs and acting as a shield. ""Turtle"" may refer to the order as a whole (American English) or to fresh-water and sea-dwelling testudines (British English). The order Testudines includes both extant (living) and extinct species. The earliest known members of this group date from the Middle Jurassic, making turtles one of the oldest reptile groups and a more ancient group than snakes or crocodilians. Of the 356 known species alive today, some are highly endangered. Turtles are ectothermsâ€”animals commonly called cold-bloodedâ€”meaning that their internal temperature varies according to the ambient environment. However, because of their high metabolic rate, leatherback sea turtles have a body temperature that is noticeably higher than that of the surrounding water. Turtles are classified as amniotes, along with other reptiles, birds, and mammals. Like other amniotes, turtles breathe air and do not lay eggs underwater, although many species live in or around water."
